Date,Open,High,Low,Close,Adj Close,Volume
2015-03-30,24.019230,24.230770,23.625000,23.980770,20.885576,135319600
2015-04-06,23.942308,27.576923,23.836538,27.413462,23.875217,509597700
2015-04-13,26.980770,27.105770,25.884615,26.201923,22.820045,432964200
2015-04-20,26.269230,26.384615,25.528847,25.769230,22.443207,260694800
2015-04-27,25.923077,26.298077,25.615385,26.259615,22.870291,190410100
2015-05-04,26.307692,26.548077,25.586538,26.307692,22.912167,158672500
2015-05-11,26.201923,26.384615,25.721153,26.221153,22.836798,168644600
2015-05-18,26.163462,26.721153,26.153847,26.615385,23.180147,161593000
2015-05-25,26.461538,26.567308,26.221153,26.221153,22.836798,144341000
2015-06-01,26.211538,26.557692,26.028847,26.240385,22.853548,155951200
2015-06-08,26.269230,26.615385,26.125000,26.336538,22.937292,149664300
2015-06-15,26.336538,26.355770,25.961538,26.192308,22.811676,198187300
2015-06-22,26.250000,26.538462,25.875000,26.048077,22.886812,147255500
2015-06-29,25.865385,25.932692,25.451923,25.750000,22.624914,130374200
2015-07-06,25.509615,25.615385,24.884615,25.259615,22.194044,154239400
2015-07-13,25.471153,26.278847,25.230770,26.192308,23.013538,152225500
2015-07-20,26.076923,26.163462,24.682692,24.759615,21.754719,137724800
2015-07-27,24.557692,25.278847,24.538462,25.096153,22.050417,138673200
2015-08-03,25.115385,25.317308,24.615385,24.798077,21.788517,128181300
2015-08-10,24.903847,25.288462,24.375000,25.076923,22.033522,124987100
2015-08-17,24.951923,25.230770,23.615385,23.644230,20.774702,175208900
2015-08-24,21.961538,24.201923,18.625000,24.192308,21.256266,341969800
2015-08-31,24.019230,24.019230,22.769230,23.076923,20.276247,230343800
2015-09-07,23.567308,24.250000,23.336538,23.990385,21.078848,153486700
2015-09-14,24.009615,25.028847,23.653847,23.846153,20.952120,268946100
2015-09-21,23.932692,24.471153,23.653847,23.961538,21.249527,215491700
2015-09-28,23.740385,24.509615,23.326923,24.490385,21.718515,218530600
2015-10-05,25.355770,27.115385,25.211538,26.990385,23.935562,355103800
2015-10-12,26.903847,28.067308,26.423077,27.865385,24.711527,339612400
2015-10-19,27.692308,28.682692,27.596153,28.375000,25.163462,445519500
2015-10-26,28.384615,28.519230,27.798077,27.807692,24.660364,312791100
2015-11-02,27.826923,28.798077,27.769230,28.769230,25.513075,529476700
2015-11-09,28.615385,29.711538,28.250000,29.115385,25.820051,1167370200
2015-11-16,28.730770,29.798077,28.625000,29.480770,26.144081,1251743800
2015-11-23,29.413462,29.682692,29.028847,29.192308,25.888264,383314800
2015-11-30,29.163462,29.346153,28.721153,29.317308,25.999121,311228500
2015-12-07,29.250000,29.740385,28.759615,29.096153,25.802992,290937700
2015-12-14,29.096153,30.028847,28.625000,29.115385,25.820051,352402700
2015-12-21,29.250000,29.807692,28.990385,29.644230,26.493597,137206900
2015-12-28,29.557692,30.278847,29.432692,29.951923,26.768591,147041900
2016-01-04,29.375000,29.653847,27.250000,27.355770,24.448362,361372800
2016-01-11,27.442308,28.769230,27.019230,27.394230,24.482735,307677800
2016-01-18,27.615385,27.875000,26.423077,27.153847,24.267899,295314900
2016-01-25,27.230770,27.990385,26.750000,27.980770,25.006935,234030800
2016-02-01,27.894230,28.326923,26.798077,27.442308,24.525703,242451300
2016-02-08,27.134615,27.596153,26.057692,27.173077,24.285084,265560200
2016-02-15,27.480770,28.471153,27.326923,27.903847,24.938185,158696800
2016-02-22,27.903847,28.423077,27.307692,28.269230,25.264736,186817700
2016-02-29,28.307692,29.413462,28.000000,29.288462,26.393646,171248200
2016-03-07,29.096153,29.403847,28.644230,29.173077,26.289661,153412100
2016-03-14,29.057692,29.951923,28.875000,29.730770,26.792236,204800500
2016-03-21,29.663462,30.038462,29.605770,29.913462,26.956871,112572000
2016-03-28,29.942308,30.817308,29.903847,30.701923,27.667404,196352100
2016-04-04,30.471153,30.490385,29.336538,29.605770,26.679588,178960700
2016-04-11,29.644230,29.903847,29.403847,29.836538,26.887552,126770300
2016-04-18,29.711538,30.144230,29.144230,29.576923,26.653597,173306000
2016-04-25,29.625000,30.019230,29.230770,29.567308,26.644930,150628200
2016-05-02,29.461538,29.798077,28.278847,28.961538,26.099033,150489900
2016-05-09,28.894230,29.567308,28.403847,28.500000,25.683113,166816400
2016-05-16,28.413462,28.971153,27.942308,28.423077,25.613794,162316100
2016-05-23,28.384615,29.153847,28.278847,28.961538,26.099033,120248900
2016-05-30,28.961538,29.173077,28.663462,28.788462,25.943064,97973800
2016-06-06,28.846153,29.326923,28.778847,28.884615,26.029713,134588000
2016-06-13,28.826923,29.721153,28.644230,29.423077,26.514959,253426800
2016-06-20,29.663462,30.115385,28.605770,28.673077,26.042727,255668900
2016-06-27,28.403847,30.413462,28.048077,30.278847,27.501188,223944800
2016-07-04,30.048077,31.028847,29.923077,30.961538,28.121258,146129600
2016-07-11,31.019230,31.682692,30.894230,31.615385,28.715120,192110000
2016-07-18,31.625000,31.730770,30.471153,30.826923,27.998991,215852900
2016-07-25,30.836538,30.846153,29.884615,29.942308,27.195522,210119000
2016-08-01,29.923077,30.240385,29.807692,30.076923,27.317789,124824700
2016-08-08,30.096153,30.192308,29.951923,30.038462,27.282856,122992100
2016-08-15,30.096153,30.221153,29.884615,30.048077,27.291588,116811600
2016-08-22,29.971153,30.355770,29.884615,30.028847,27.274122,118472400
2016-08-29,29.980770,30.259615,29.769230,30.086538,27.326521,140002100
2016-09-05,30.105770,30.134615,28.951923,28.951923,26.295994,148721800
2016-09-12,28.846153,29.394230,28.288462,28.538462,25.920460,247089100
2016-09-19,28.634615,28.951923,28.269230,28.740385,26.315800,146986600
2016-09-26,28.653847,28.942308,28.307692,28.480770,26.078089,159267600
